x,y,z,unix,millis
-18.61,4.31,-41.61,1615576499,27758856
-18.14,2.85,-42.17,1615576499,27758909
-18.46,1.46,-41.33,1615576499,27758962
-18.3,1.58,-39.83,1615576499,27759015
-18.84,3.48,-38.8,1615576499,27759069
-18.85,4.05,-40.4,1615576499,27759122
-18.34,4,-41.27,1615576499,27759175
-18.63,2.76,-42.11,1615576499,27759228
-18.14,1.67,-41.11,1615576499,27759282
-18.33,1.52,-40.49,1615576499,27759335
-18.33,2.81,-39.54,1615576500,27759388
-18.63,2.18,-42.18,1615576500,27759447
-19.01,1.27,-41.38,1615576500,27759500
-18.56,1.78,-40.46,1615576500,27759553
-18.59,3.46,-41.01,1615576500,27759606
-19.37,4.4,-42.21,1615576500,27759660
-18.69,3.7,-42.43,1615576500,27759713
-18.3,1.56,-39.78,1615576500,27759766
-18.71,3.93,-40.81,1615576500,27759819
-18.81,4.17,-41.98,1615576500,27759873
